geonames_id,Place_geonames_id,lat_geonames_id,lon_geonames_id
3427440,Villa Escobar,-29.36425,-56.8294
3427441,Villa El Rincón,-34.78397,-58.46941
3427442,Villa Elisa,-34.85125,-58.08553
3427443,Villa Elisa,-32.1632,-58.40082
3427444,Villa Cacique,-37.67623,-59.39619
3427445,Villa D. Sobral,-34.7585,-58.24544
3427446,Estación Villa Domínico,-34.6918,-58.32401
3427447,Villa Domínico,-34.69421,-58.33035
3427448,Villa Dolores,-27.39974,-55.90204
3427449,Villa Diamante,-34.68189,-58.43297
3427450,Parada A. Devoto,-34.59556,-58.51047
3427451,Villa Devoto,-34.60064,-58.51231
3427452,Villa Depietri,-33.69363,-59.64242
3427453,Villa de Mayo,-34.5108,-58.68059
3427454,Villa del Rosario,-30.7957,-57.91234
3427455,Villa del Parque,-34.60057,-58.48871
3427456,Villa de los Patricios,-34.61969,-58.53733
3427457,Villa Cristóbal Colón,-34.69289,-58.3408
3427458,Villa Crespo,-34.60001,-58.44735
3427459,Estancia Villa Corina,-28.02715,-56.05691
3427460,Villa Córdoba,-28.99233,-59.07727
3427461,Villa Colón,-35,-59.01667
3427462,Villa Clelia,-36.72582,-56.69768
3427463,Villa Bosch,-34.58681,-58.57387
3427464,Villa Basso,-34.63377,-58.59176
3427465,Villa Barilari,-34.70276,-58.3315
3427466,Villa Barcelo,-34.73853,-58.37292
3427467,Villa Ballester,-34.54531,-58.55919
3427468,Villa Augusta,-34.75172,-58.24495
3427469,Villa Aquino,-29.01667,-59.08333
3427470,Villa Ansaldi,-34.6796,-58.51445
3427471,Estancia Villa Angélica,-29.93333,-58.35
3427472,Villa Ana,-28.49285,-59.61279
3427473,Villa Altube,-34.52647,-58.74656
3427474,Valentín Alsina,-34.67137,-58.40904
3427475,Villa Alianza,-34.61261,-58.55047
3427476,Villa Alegría,-26.16667,-54.5
3427477,Estancia Villa Agustina,-29.26667,-59.13333
3427478,Villa Adelina,-34.52975,-58.5476
3427479,Vilela,-35.84688,-59.0351
3427480,Isla Vilardebó,-32.5754,-58.16915
3427481,Puesto Vigilante,-30.3,-57.86667
3427482,Vieytes,-35.26796,-57.57426
3427483,Puesto Viejo,-25.5101,-59.3982
3427484,Estancia Vieja Ojo de Agua,-37.97095,-58.02256
3427485,Estancia Vieja Maldonado,-35.24911,-57.8816
3427486,Estancia Vieja Basavilbaso,-32.39309,-58.93194
3427487,Estancia Vieja,-37.96667,-58.01667
3427488,Estancia Vieja,-37.47884,-57.79303
3427489,Estancia Vieja,-35.73333,-58.35
3427490,Estancia Vieja,-35.33333,-57.7
3427491,Estancia Vieja,-30.44461,-58.17511
3427492,Estancia Vieja,-28.94793,-56.69556
3427493,Laguna de Viedma,-34.73333,-57.5
3427494,Laguna Viedma,-35.74041,-57.50867
3427495,Arroyo Videla,-36.94873,-59.95509
3427496,Estancia Vidal,-25.26141,-58.50974
3427497,Colonia Victor Manuel Segundo,-29.05,-59.86667
3427498,Sierra de la Victoria,-25.93277,-53.91253
3427499,Río Victoria,-33.2402,-59.79509
3427500,Victoria,-34.45505,-58.54614
3427501,Laguna Vichahuel,-36.14223,-58.64555
3427502,Vicentini,-27.40862,-59.04288
3427503,Vicente Pereda,-36.69861,-59.78228
3427504,Partido de Vicente López,-34.52353,-58.47439
3427505,Vicente López,-34.52947,-58.4737
3427506,Vicente Casares,-34.96562,-58.65186
3427507,Laguna Vicente,-28.51465,-59.2613
3427508,Arroyo Víboras,-30.37956,-58.67415
3427509,V. Gandula,-28.16031,-55.66745
3427510,Versailles,-34.62749,-58.51504
3427511,Verónica,-35.38732,-57.33839
3427512,Veronica,-35.39834,-57.36519
3427513,Arroyo Veroncito,-30.46609,-59.80423
3427514,Arroyo Verón,-30.62633,-59.7062
3427515,Verna,-32.15,-58.18333
3427516,Vergara,-35.38333,-57.8
3427517,Vergara,-35.38387,-57.80461
3427518,Riacho Verde,-25.4,-57.66667
3427519,Laguna Verde,-37.15,-57.35
3427520,Cerro Verde,-29.39853,-57.6594
3427521,Cerro Verde,-28.78446,-57.54317
3427522,Laguna Vera,-28.79502,-58.70539
3427523,Laguna Vera,-25.72162,-58.17131
3427524,Estancia Venda de Mello,-28.3514,-55.87793
3427525,Estero Veloso,-28.50312,-58.12687
3427526,Puesto Velorio,-25.77915,-58.48192
3427527,Velloso,-36.12057,-59.65187
3427528,Vélez Sarsfield,-34.63144,-58.49261
3427529,Velaz,-26.7,-58.66667
3427530,Laguna Velásquez,-35.98523,-58.40413
3427531,Estación Vela,-37.3999,-59.51614
3427532,Veinticinco de Mayo,-26.78646,-59.97482
3427533,Isla Veinticinco de Mayo,-27.44816,-56.60379
3427534,Colonia Veinticinco de Mayo,-31.40685,-59.59389
3427535,Departamento de Veinticinco de Mayo,-27.41667,-54.66667
3427536,Almacén Veinticinco de Mayo,-35.33333,-57.25
3427537,Veinticinco de Mayo,-27.37796,-54.74505
3427538,Veinticinco de Mayo,-28.02615,-59.45847
3427539,Veinticinco de Mayo,-27.75,-55.35
3427540,XX de Setiembre,-32.38607,-59.66245
3427541,Estación Veinte de Junio,-34.78078,-58.7383
3427542,Estancia Vda. Barcellos,-28.89341,-56.72529
3427543,Estancia V. Corina,-28.01667,-56.05
3427544,Colonia Vásquez,-32.10688,-58.42567
3427545,Estancia Va. Victoria,-28.4,-56.68333
3427546,Isla de los Vascos,-29.4569,-59.6166
3427547,Puente de la Vasca,-36.47591,-57.57493
3427548,Isla de Vargas,-28.64211,-56.08273
3427549,Cañada de Vargas,-35.03554,-59.2252
3427550,Paso Varela,-29.60237,-58.39419
3427551,Paso Varela,-28.66911,-56.64657
3427552,Varela,-34.63287,-58.46409
3427553,Varadero del Miní,-34.1,-58.63333
3427554,Estancia V. Angélica,-28.21388,-56.2336
3427555,Estancia V. Angel,-29.2647,-56.68278
3427556,Vallejos Cué,-27.55,-57.2
3427557,Puesto Vallejos,-25.73752,-58.28421
3427558,Laguna Vallejos,-28.1634,-58.45565
3427559,Laguna Vallejos,-27.40365,-58.04975
3427560,Salto del Valiente,-27.1,-53.8
3427561,Valeria del Mar,-37.14614,-56.88676
3427562,Laguna Valenzuela,-36.35626,-57.43523
3427563,Esteros del Valengo,-28.72713,-58.56108
3427564,Estancia V. Alcira,-28.06276,-56.3281
3427565,Vagues,-34.29955,-59.44418
3427566,Vado Guaviravi,-28.96301,-56.84675
3427567,Isla del Vado,-28.89456,-56.30338
3427568,Puesto Vacanetá,-24.7515,-58.98311
3427569,Estancia Vaca Cuá,-29.61624,-58.09705
3427570,Arroyo Vaca Cuá,-29.60358,-57.93832
3427571,Vaca Cuá,-29.66555,-57.96737
3427572,Isla de la Vaca,-36.33892,-56.93242
3427573,Arroyo Uruzú,-25.92338,-54.28121
3427574,Río Uruguay,-25.89849,-54.61367
3427575,Puesto Uruguay,-28.19465,-55.70935
3427576,Departamento de Uruguay,-32.44344,-58.58278
3427577,Arroyo Uruguay,-26.13333,-53.91667
3427578,Puesto Urquiza,-37.33333,-57.5
3427579,Arroyo Urquiza,-32.37972,-58.1917
3427580,Canal Urión,-34.39688,-58.52169
3427581,Uribelarrea,-35.12389,-58.8921
3427582,Urdinarrain,-32.69104,-58.88842
3427583,Laguna Urbina Cué,-28.08073,-57.10684
3427584,Cañada de Uraña,-35.71667,-58.28333
3427585,Apeadero Unión Ferroviaria,-34.87021,-58.54355
3427586,Salto Caniguá,-25.56667,-54.2
3427587,Colonia Unión,-28.05737,-55.8334
3427588,Estancia Un Durazno,-36.93057,-58.99789
3427589,Uguay,-28.64884,-57.48161
3427590,Udaquiola,-36.56193,-58.53642
3427591,Paso Ubajay,-30.93333,-58.03333
3427592,Arroyo Ubajay,-30.21269,-59.81838
3427593,Ubajay,-31.79514,-58.31509
3427594,Paso Tuyuyú,-28.03333,-58.65
3427595,Loma Tuyutu,-25.08648,-58.33754
3427596,Riacho Tuyuty,-27.33333,-57.8
3427597,Tuyutí,-27.38405,-57.76126
3427598,Tuyutí,-34.52019,-59.67326
3427599,Estancia Tuyu-Né,-30.06667,-57.78333
3427600,Estancia Tuyú-Cué,-35.43678,-59.2361
3427601,Estancia Tutelén Ruca,-38.16084,-57.85907
3427602,Turdera,-34.79087,-58.4052
3427603,Laguna Tupungato,-38.53997,-58.92888
3427604,Arroyo Tupicua,-25.97901,-54.60856
3427605,Paso Tupantuva,-29.20964,-57.62065
3427606,Estancia Tupantuva,-29.19896,-57.6114
3427607,Puesto Tunita,-28.7499,-57.34539
3427608,Estancia Tunita,-29.55604,-56.95903
3427609,Puesto Tunbaua,-27.97815,-56.0135
3427610,Tunas Ty,-30.06667,-59.13333
3427611,Paso Tunas,-29.6,-58.45
3427612,Islas Tunas,-28.83816,-59.13663
3427613,Estancia Tunas,-28.7829,-57.32201
3427614,Arroyo de las Tunas,-31.86946,-59.61249
3427615,Arroyo Tunas,-30.68333,-58.8
3427616,Arroyo Tunas,-30.42682,-58.07296
3427617,Arroyo Tunas,-28.11302,-55.606
3427618,Cerro Tuna,-27.95,-58.95
3427619,Zanjón Tuerto,-29.86213,-59.74818
3427620,Paso Tucá,-26.69549,-59.32494
3427621,Laguna Tucá,-26.70275,-59.33087
3427622,Arroyo Tucá,-26.70304,-59.32859
3427623,Estancia T. Rossi,-28.7365,-58.63341
3427624,Parada Tropezón,-34.59212,-58.55677
3427625,Estancia Triunfo,-28.62925,-56.13545
3427626,Tristán Suárez,-34.88982,-58.56761
3427627,Laguna Trin,-28.66667,-57.83333
3427628,Monte Tres Traperas,-28.57002,-56.25696
3427629,Estancia Tres Taperas,-29.04297,-56.78401
3427630,Bañado Tres Taperas,-28.52167,-56.30748
3427631,Los Tres Reyes,-24.80378,-59.532
3427632,Tres Pozos,-34.2,-59.11667
3427633,Puesto Tres Pocitos,-26.16014,-58.85616
3427634,Tres Pitos,-26.3549,-58.42388
3427635,Tres Pasos,-36.9,-57.7
3427636,Tres Palmas,-26.73847,-59.97335
3427637,Estancia Tres Naciones,-37.74369,-58.0895
3427638,Tres Mojones,-26.46605,-58.51382
3427639,Puesto Tres Marías,-25.92884,-58.67672
3427640,Estancia Tres Marías,-29.41881,-58.41125
3427641,Tres Marías,-26.32863,-58.20575
3427642,Tres Lomas,-37.41744,-58.15149
3427643,Estancia Tres Lomas,-35.35,-57.91667
3427644,Puesto Tres Lagunas,-24.22449,-59.90592
3427645,Tres Lagunas,-25.21449,-58.51154
3427646,Tres Lagunas,-25.25,-58.4
3427647,Tres Horquetas,-26.18435,-58.35903
3427648,Puesto Tres Hermanas,-29.83333,-57.75
3427649,Estancia Tres Hermanas,-30.77498,-58.5511
3427650,Estancia Tres Hermanas,-28.01667,-58.66667
3427651,Puesto Tres Esquinas,-25.73487,-57.98026
3427652,Tres Esquinas,-32.24854,-59.94706
3427653,Puesto Tres de Mayo,-25.13584,-59.03056
3427654,Arroyo Tres de Mayo,-26.75917,-54.94279
3427655,Partido de Tres de Febrero,-34.59987,-58.56606
3427656,Colonia Tres de Febrero,-31.3734,-59.69623
3427657,Estación Tres de Febrero,-34.56667,-58.41667
3427658,Colonia Tres de Febrero,-32.21677,-58.49509
3427659,Tres Capones,-28.00431,-55.60935
3427660,Puente Tres Bonetes,-35.81667,-59.51667
3427661,Isla Tres Bocas,-29.07914,-56.60699
3427662,Tres Bocas,-32.73989,-59.76644
3427663,Tres Bocas,-30.02251,-58.29219
3427664,Tres Bocas,-29.41861,-58.2336
3427665,Tres Bocas,-27.49667,-54.68121
3427666,Almacén Tres Banderas,-26.50897,-59.37232
3427667,Estancia Tres Árboles,-27.79149,-56.9705
3427668,Tres Amores,-25.80036,-59.97812
3427669,Puesto Treinta y Ocho,-26.84301,-58.92837
3427670,Estero Treinta y Cuatro,-25.62415,-59.28823
3427671,Estancia Trehul,-37.05288,-59.02869
3427672,Estero Trapiche Cué,-28.16337,-57.91908
3427673,Estancia Tránsito,-37.3635,-58.48282
3427674,Paso Tranqueros,-30.92244,-58.16024
3427675,Puesto Tranquerita,-25.4143,-58.10951
3427676,Puesto Tranquerita,-25.0981,-58.2295
3427677,Estero Tranquerita,-25.1,-58.18333
3427678,Estancia Tranquerita,-27.94831,-57.40032
3427679,Río Tragadero,-27.46839,-58.89626
3427680,Isla Tragadero,-28.52091,-59.10838
3427681,Laguna Totoral,-35.31739,-58.75208
3427682,Estero Totoral,-30.25018,-59.24354
3427683,Arroyo Totoral,-35.43333,-58.8
3427684,Cañada Totora,-26.39039,-59.57117
3427685,Arroyo de la Totora,-38.31588,-57.91298
3427686,Puesto Tota,-28.53169,-58.55698
3427687,Tortuguitas,-34.47513,-58.75367
3427688,Arroyo Torres,-30.49447,-58.09198
3427689,Torres,-34.42969,-59.12879
3427690,Estación Torrent,-28.82708,-56.46976
3427691,Estación Torrent,-28.82599,-56.47024
3427692,Laguna de los Toros,-37.41667,-57.8
3427693,Arroyo Tororó,-27.64068,-55.84588
3427694,Arroyo Toro Ratay,-28.80174,-58.14608
3427695,Toro Ratay,-28.8474,-58.09747
3427696,Islas Toropí,-28.56561,-59.0762
3427697,Toro Paso,-25.37178,-58.04479
3427698,Bañado Toro Acangüé,-29.10245,-57.17558
3427699,Laguna del Toro,-33.28333,-59.01667
3427700,Isla del Toro,-35.74219,-57.40013
3427701,Estación Toro,-34.49475,-58.8448
3427702,Cañada del Toro,-35.2385,-59.08827
3427703,Cañada del Toro,-27.48859,-58.19286
3427704,Bañado Toro,-29.14109,-57.19421
3427705,Arroyo Toro,-27.66667,-55.13333
3427706,Arroyo Toro,-26.61291,-53.73497
3427707,Colonia Tornquist,-35.33949,-57.27101
3427708,Laguna Tork,-28.54705,-59.28133
3427709,Partido de Tordillo,-36.5,-57.25
3427710,Laguna del Tordillo,-36.40857,-57.55835
3427711,Laguna del Tordillo,-36.4,-57.55
3427712,Jorge Born,-34.69971,-59.31817
3427713,Estancia Tomasa,-37.66667,-57.88333
3427714,Tolosa,-34.8918,-57.97377
3427715,Puesto Toledo,-29.05,-56.93333
3427716,Isla Toledo,-27.2906,-58.49078
3427717,Arroyo Toledo,-30.58304,-58.02996
3427718,Estancia Toldos Chicos,-35.73936,-59.383
3427719,Laguna de los Toldos,-35.72595,-59.33914
3427720,Laguna Toldos,-30.82004,-59.786
3427721,Estancia Toldo Cué,-24.7969,-58.72594
3427722,Paso Toffaletti,-26.83527,-59.1558
3427723,Estancia Todos los Santos,-35.39948,-57.44761
3427724,Tobuna,-26.47085,-53.89136
3427725,Desvío Tirol,-27.3601,-59.1256
3427726,Estancia Tío Juan,-35.3198,-57.48932
3427727,Tío Domingo,-37.02464,-56.95148
3427728,Sierra de la Tinta,-37.62279,-59.52921
3427729,Estancia Tingy,-27.60508,-56.27196
3427730,Bañado Tingui,-28.75414,-56.62248
3427731,Islas Timboy,-30.41715,-57.76964
3427732,Estancia Timboy,-30.23863,-57.90443
3427733,Arroyo Timboy,-30.41272,-57.76791
3427734,Riacho Timbó Porá,-26.05765,-57.95382
3427735,Timbó Corá,-27.54415,-57.74226
3427736,Timbocito,-28.89661,-58.22512
3427737,Puesto Timbó,-28.26857,-55.86312
3427738,Puesto Timbó,-27.88333,-59.06667
3427739,Puesto Timbó,-27.6018,-56.0714
3427740,Puesto Timbó,-24.94199,-58.48114
